SUMLEV,STATE,COUNTY,PLACE,COUSUB,CONCIT,FUNCSTAT,NAME,STNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013
040,41,000,00000,00000,00000,A,Oregon,Oregon,3831074,3831073,3837208,3867937,3899801,3930065
162,41,000,00275,00000,00000,A,Adair Village city,Oregon,840,827,825,827,825,819
162,41,000,00350,00000,00000,A,Adams city,Oregon,350,350,351,352,350,348
162,41,000,00500,00000,00000,A,Adrian city,Oregon,177,177,177,173,170,170
162,41,000,01000,00000,00000,A,Albany city,Oregon,50158,50158,50379,51142,51412,51583
162,41,000,02000,00000,00000,A,Amity city,Oregon,1614,1614,1615,1616,1612,1601
162,41,000,02250,00000,00000,A,Antelope city,Oregon,46,46,46,46,47,47
162,41,000,02800,00000,00000,A,Arlington city,Oregon,586,586,587,611,608,607
162,41,000,03050,00000,00000,A,Ashland city,Oregon,20078,20078,20100,20331,20504,20713
162,41,000,03150,00000,00000,A,Astoria city,Oregon,9477,9477,9474,9505,9568,9516
162,41,000,03200,00000,00000,A,Athena city,Oregon,1126,1132,1133,1139,1138,1134
162,41,000,03250,00000,00000,A,Aumsville city,Oregon,3584,3589,3603,3668,3693,3812
162,41,000,03300,00000,00000,A,Aurora city,Oregon,918,918,927,936,936,939
162,41,000,03650,00000,00000,A,Baker City city,Oregon,9828,9828,9799,9766,9703,9769
162,41,000,03800,00000,00000,A,Bandon city,Oregon,3066,3066,3066,3058,3071,3057
162,41,000,03850,00000,00000,A,Banks city,Oregon,1777,1777,1781,1811,1839,1860
162,41,000,04000,00000,00000,A,Barlow city,Oregon,135,135,135,136,137,137
162,41,000,04800,00000,00000,A,Bay City city,Oregon,1286,1286,1285,1294,1294,1293
162,41,000,05350,00000,00000,A,Beaverton city,Oregon,89803,89782,90131,91407,92697,93542
162,41,000,05800,00000,00000,A,Bend city,Oregon,76639,76639,76692,77650,78939,81236
162,41,000,07200,00000,00000,A,Boardman city,Oregon,3220,3228,3236,3235,3346,3379
162,41,000,07300,00000,00000,A,Bonanza town,Oregon,415,415,414,412,407,405
162,41,000,08650,00000,00000,A,Brookings city,Oregon,6336,6336,6328,6381,6339,6374
162,41,000,09050,00000,00000,A,Brownsville city,Oregon,1668,1668,1671,1683,1683,1686
162,41,000,09800,00000,00000,A,Burns city,Oregon,2806,2806,2797,2798,2757,2728
162,41,000,10050,00000,00000,A,Butte Falls town,Oregon,423,423,424,426,430,433
162,41,000,10750,00000,00000,A,Canby city,Oregon,15829,16649,16671,16745,16823,16866
162,41,000,10850,00000,00000,A,Cannon Beach city,Oregon,1690,1690,1692,1690,1696,1691
162,41,000,10950,00000,00000,A,Canyon City town,Oregon,703,703,704,693,686,684
162,41,000,11000,00000,00000,A,Canyonville city,Oregon,1884,1884,1883,1893,1900,1897
162,41,000,11150,00000,00000,A,Carlton city,Oregon,2007,2007,2005,2006,2016,2023
162,41,000,11600,00000,00000,A,Cascade Locks city,Oregon,1144,1144,1149,1142,1148,1148
162,41,000,11850,00000,00000,A,Cave Junction city,Oregon,1883,1880,1881,1867,1865,1871
162,41,000,12400,00000,00000,A,Central Point city,Oregon,17169,17169,17186,17291,17419,17600
162,41,000,13050,00000,00000,A,Chiloquin city,Oregon,734,734,733,731,725,724
162,41,000,13750,00000,00000,A,Clatskanie city,Oregon,1737,1747,1747,1747,1743,1745
162,41,000,14400,00000,00000,A,Coburg city,Oregon,1035,1035,1035,1040,1038,1037
162,41,000,14750,00000,00000,A,Columbia City city,Oregon,1946,1946,1944,1942,1943,1953
162,41,000,15000,00000,00000,A,Condon city,Oregon,682,682,681,711,709,709
162,41,000,15250,00000,00000,A,Coos Bay city,Oregon,15967,15973,15973,16005,16038,15946
162,41,000,15350,00000,00000,A,Coquille city,Oregon,3866,3866,3863,3847,3838,3820
162,41,000,15550,00000,00000,A,Cornelius city,Oregon,11869,11869,11894,12013,12121,12161
162,41,000,15800,00000,00000,A,Corvallis city,Oregon,54462,54461,54338,54571,55008,55298
